fecha_inicio,categoria_delito,nombre_sec
2025-06-06,Homicidio doloso,TEZONCO
2025-07-26,Robo a transportista con y sin violencia,ABASTO-REFORMA
2025-05-17,Robo a repartidor con y sin violencia,ESTRELLA
2025-07-30,Robo a negocio con violencia,OASIS
2025-06-04,Homicidio doloso,TEZONCO
2025-04-30,Robo a repartidor con y sin violencia,OASIS
2025-08-03,Robo a repartidor con y sin violencia,OASIS
2025-04-24,Robo a negocio con violencia,OASIS
2025-07-01,Homicidio doloso,SANTA CRUZ
2025-07-20,Robo a negocio con violencia,QUETZAL
2025-08-02,Homicidio doloso,TEZONCO
2025-07-01,Homicidio doloso,OASIS
2025-05-28,Robo a negocio con violencia,QUETZAL
2025-04-29,Robo a negocio con violencia,QUETZAL
2025-07-19,Lesiones dolosas por disparo de arma de fuego,ESTRELLA
2025-05-11,Robo a negocio con violencia,OASIS
2025-05-21,Robo a negocio con violencia,OASIS
2025-06-16,Robo a repartidor con y sin violencia,TEOTONGO
2025-07-07,Robo a negocio con violencia,SANTA FE
2025-07-03,Robo a repartidor con y sin violencia,SAN JERONIMO
2025-06-03,Robo a negocio con violencia,MILPA ALTA
2025-05-29,Robo a pasajero a bordo de microbús con y sin violencia,DINAMO
2025-07-08,Robo a repartidor con y sin violencia,SAN JERONIMO
2025-07-22,Homicidio doloso,MILPA ALTA
2025-07-28,Homicidio doloso,MILPA ALTA
2025-05-18,Homicidio doloso,PLATEROS
2025-05-04,Lesiones dolosas por disparo de arma de fuego,PLATEROS
2025-05-16,Robo a pasajero a bordo de taxi con violencia,SAN ANGEL
2025-06-12,Robo a negocio con violencia,PLATEROS
2025-06-15,Robo a negocio con violencia,PLATEROS
2025-05-22,Robo a cuentahabiente saliendo del cajero con violencia,PLATEROS
2025-07-30,Robo a negocio con violencia,PLATEROS
2025-07-27,Robo a pasajero a bordo de microbús con y sin violencia,ZAPOTITLA
2025-07-15,Homicidio doloso,ZAPOTITLA
2025-06-12,Robo a pasajero a bordo de microbús con y sin violencia,PLATEROS
2025-08-08,Robo a negocio con violencia,ZAPOTITLA
2025-07-17,Robo a negocio con violencia,ZAPOTITLA
2025-07-02,Robo a negocio con violencia,ZAPOTITLA
2025-05-11,Robo a pasajero a bordo de microbús con y sin violencia,ZAPOTITLA
2025-06-09,Homicidio doloso,MIXQUIC
2025-06-19,Robo a cuentahabiente saliendo del cajero con violencia,COAPA
2025-04-26,Robo a negocio con violencia,COAPA
2025-06-30,Robo a negocio con violencia,PADIERNA
2025-07-02,Robo a negocio con violencia,PADIERNA
2025-05-07,Robo a negocio con violencia,COAPA
2025-05-06,Lesiones dolosas por disparo de arma de fuego,PADIERNA
2025-07-23,Homicidio doloso,PADIERNA
2025-07-07,Robo a casa habitación con violencia,PADIERNA
2025-07-16,Robo a negocio con violencia,COAPA
2025-05-21,Robo a repartidor con y sin violencia,TOPILEJO
2025-04-22,Robo a negocio con violencia,FUENTE
2025-07-06,Lesiones dolosas por disparo de arma de fuego,TEPEPAN
2025-05-03,Lesiones dolosas por disparo de arma de fuego,LA NORIA
2025-08-08,Homicidio doloso,LA NORIA
2025-05-18,Robo a cuentahabiente saliendo del cajero con violencia,NATIVITAS
2025-07-06,Robo a negocio con violencia,NATIVITAS
2025-05-27,Robo a negocio con violencia,PADIERNA
2025-07-04,Robo a repartidor con y sin violencia,DEL VALLE
2025-07-16,Robo a negocio con violencia,NAPOLES
2025-05-20,Homicidio doloso,NATIVITAS
2025-07-05,Robo a casa habitación con violencia,TOPILEJO
2025-06-18,Robo a negocio con violencia,PADIERNA
2025-05-20,Robo a negocio con violencia,HUIPULCO-HOSPITALES
2025-04-22,Homicidio doloso,PADIERNA
2025-06-23,Robo a negocio con violencia,DEL VALLE
2025-08-05,Robo a cuentahabiente saliendo del cajero con violencia,NAPOLES
2025-06-12,Robo a negocio con violencia,DEL VALLE
2025-07-10,Robo a repartidor con y sin violencia,NATIVITAS
2025-05-19,Robo a negocio con violencia,NATIVITAS
2025-05-17,Robo a negocio con violencia,NATIVITAS
2025-07-18,Robo a negocio con violencia,NAPOLES
2025-07-15,Robo a negocio con violencia,PORTALES
2025-07-30,Robo a cuentahabiente saliendo del cajero con violencia,NAPOLES
2025-06-16,Robo a repartidor con y sin violencia,NARVARTE-ALAMOS
2025-07-14,Robo a negocio con violencia,DEL VALLE
2025-05-17,Robo a negocio con violencia,PORTALES
2025-05-05,Robo a repartidor con y sin violencia,DEL VALLE
2025-06-23,Robo a negocio con violencia,PORTALES
2025-08-13,Homicidio doloso,ASTURIAS
2025-04-24,Robo a negocio con violencia,ANGEL
2025-08-07,Robo a negocio con violencia,TLATELOLCO
2025-04-27,Robo a casa habitación con violencia,ANGEL
2025-06-04,Robo a pasajero a bordo de taxi con violencia,ANGEL
2025-04-29,Robo a negocio con violencia,CENTRO
2025-06-15,Robo a negocio con violencia,ALAMEDA
2025-07-30,Robo a negocio con violencia,ALAMEDA
2025-05-10,Robo a negocio con violencia,BUENAVISTA
2025-07-07,Lesiones dolosas por disparo de arma de fuego,CENTRO
2025-06-14,Robo a cuentahabiente saliendo del cajero con violencia,CENTRO
2025-05-18,Robo a negocio con violencia,ALAMEDA
2025-07-16,Homicidio doloso,CENTRO
2025-04-25,Robo a repartidor con y sin violencia,ALAMEDA
2025-05-15,Robo a repartidor con y sin violencia,CENTRO
2025-04-28,Homicidio doloso,ASTURIAS
2025-05-15,Robo a negocio con violencia,BUENAVISTA
2025-04-21,Lesiones dolosas por disparo de arma de fuego,BUENAVISTA
2025-04-28,Lesiones dolosas por disparo de arma de fuego,ASTURIAS
2025-04-29,Robo a negocio con violencia,ROMA
2025-05-09,Homicidio doloso,MORELOS
2025-06-25,Robo a transportista con y sin violencia,TEPEYAC
2025-07-19,Lesiones dolosas por disparo de arma de fuego,TLATELOLCO
2025-04-22,Robo a pasajero a bordo de taxi con violencia,ROMA
2025-06-14,Robo a negocio con violencia,TLATELOLCO
2025-07-15,Robo a negocio con violencia,ROMA
2025-05-09,Homicidio doloso,BUENAVISTA
2025-07-05,Lesiones dolosas por disparo de arma de fuego,TACUBA
2025-05-27,Robo a pasajero a bordo de microbús con y sin violencia,TACUBA
2025-07-22,Homicidio doloso,TACUBAYA
2025-06-12,Robo a negocio con violencia,SOTELO
2025-08-06,Homicidio doloso,TACUBAYA
2025-06-06,Homicidio doloso,TACUBA
2025-07-30,Robo a negocio con violencia,SOTELO
2025-06-04,Robo a negocio con violencia,TACUBA
2025-04-20,Homicidio doloso,SOTELO
2025-07-19,Lesiones dolosas por disparo de arma de fuego,SOTELO
2025-05-15,Lesiones dolosas por disparo de arma de fuego,TACUBA
2025-07-09,Robo a negocio con violencia,TACUBAYA
2025-05-12,Robo a negocio con violencia,SOTELO
2025-04-22,Robo a negocio con violencia,SOTELO
2025-07-16,Robo a casa habitación con violencia,POLANCO-CASTILLO
2025-06-30,Robo a repartidor con y sin violencia,TACUBA
2025-06-24,Robo a negocio con violencia,TACUBAYA
2025-06-06,Robo a negocio con violencia,TACUBAYA
2025-04-23,Robo a negocio con violencia,TACUBAYA
2025-06-07,Robo a repartidor con y sin violencia,TACUBA
2025-08-07,Homicidio doloso,TACUBA
2025-07-10,Robo a negocio con violencia,TACUBAYA
2025-06-08,Homicidio doloso,TACUBA
2025-07-24,Robo a negocio con violencia,TACUBA
2025-08-02,Robo a repartidor con y sin violencia,TACUBA
2025-05-07,Robo a repartidor con y sin violencia,TACUBA
2025-08-04,Robo a casa habitación con violencia,MERCED-BALBUENA
2025-04-21,Robo a negocio con violencia,TACUBA
2025-04-19,Robo a negocio con violencia,MERCED-BALBUENA
2025-05-29,Robo a pasajero a bordo de microbús con y sin violencia,ARENAL
2025-07-26,Robo a negocio con violencia,ARENAL
2025-07-15,Robo a negocio con violencia,ZARAGOZA
2025-05-20,Homicidio doloso,MERCED-BALBUENA
2025-08-01,Robo a negocio con violencia,ARENAL
2025-05-02,Robo a negocio con violencia,ARENAL
2025-06-05,Robo a negocio con violencia,ARENAL
2025-06-28,Robo de vehículo sin violencia,Sin Sector
2025-06-27,Robo de vehículo sin violencia,Sin Sector
2025-06-06,Robo de vehículo sin violencia,Sin Sector
2025-04-28,Robo de vehículo sin violencia,Sin Sector
2025-04-28,Robo de vehículo sin violencia,Sin Sector
2025-07-29,Robo de vehículo sin violencia,Sin Sector
2025-07-25,Robo a transeúnte en vía pública con violencia,Sin Sector
2025-07-25,Robo de vehículo sin violencia,Sin Sector
2025-07-27,Robo de vehículo sin violencia,Sin Sector
2025-07-26,Robo a transeúnte en vía pública con violencia,Sin Sector
2025-07-09,Robo de vehículo sin violencia,Sin Sector
2025-07-09,Robo de vehículo sin violencia,Sin Sector
2025-07-04,Robo de vehículo sin violencia,Sin Sector
2025-07-21,Robo de vehículo sin violencia,Sin Sector
2025-07-21,Robo de vehículo sin violencia,Sin Sector
2025-07-20,Robo de vehículo sin violencia,Sin Sector
2025-06-02,Robo de vehículo sin violencia,Sin Sector
2025-04-28,Robo de vehículo sin violencia,Sin Sector
2025-06-18,Robo de vehículo sin violencia,Sin Sector
2025-05-22,Robo de vehículo sin violencia,Sin Sector
2025-05-07,Robo de vehículo sin violencia,Sin Sector
2025-05-31,Homicidio doloso,CONSULADO
2025-06-18,Robo de vehículo sin violencia,Sin Sector
2025-06-21,Robo de vehículo sin violencia,Sin Sector
2025-06-25,Robo de vehículo sin violencia,Sin Sector
2025-08-12,Robo a negocio con violencia,ZARAGOZA
2025-07-09,Robo a repartidor con y sin violencia,MERCED-BALBUENA
2025-08-02,Lesiones dolosas por disparo de arma de fuego,MERCED-BALBUENA
2025-06-07,Robo a negocio con violencia,Sin Sector
2025-04-29,Robo a negocio con violencia,CONSULADO
2025-08-07,Robo a negocio con violencia,CONSULADO
2025-07-24,Homicidio doloso,MOCTEZUMA
2025-06-24,Robo de vehículo sin violencia,Sin Sector
2025-04-19,Robo a negocio con violencia,CONGRESO
2025-06-09,Robo de vehículo sin violencia,Sin Sector
2025-06-11,Robo a negocio con violencia,MERCED-BALBUENA
2025-07-12,Robo a casa habitación con violencia,MOCTEZUMA
2025-04-29,Robo a negocio con violencia,CONGRESO
2025-05-08,Robo a negocio con violencia,MOCTEZUMA
2025-07-04,Robo a casa habitación con violencia,CONSULADO
2025-07-24,Robo de vehículo sin violencia,Sin Sector
2025-08-08,Robo de vehículo sin violencia,Sin Sector
2025-08-08,Robo de vehículo sin violencia,Sin Sector
2025-08-08,Robo de vehículo sin violencia,Sin Sector
2025-07-27,Robo de vehículo sin violencia,Sin Sector
2025-07-13,Robo de vehículo sin violencia,Sin Sector
2025-07-13,Robo de vehículo con violencia,Sin Sector
2025-08-06,Robo a transeúnte en vía pública con violencia,Sin Sector
2025-08-01,Robo a transeúnte en vía pública con violencia,Sin Sector
2025-08-02,Robo de vehículo sin violencia,Sin Sector
2025-08-11,Robo de vehículo sin violencia,Sin Sector
2025-04-23,Robo a negocio con violencia,MOCTEZUMA
2025-08-14,Robo de vehículo con violencia,Sin Sector
2025-08-14,Robo de vehículo con violencia,Sin Sector
2025-07-24,Robo de vehículo sin violencia,Sin Sector
2025-07-23,Robo de vehículo sin violencia,Sin Sector
2025-05-13,Robo de vehículo sin violencia,Sin Sector
2025-05-16,Robo de vehículo sin violencia,Sin Sector
2025-08-08,Robo de vehículo sin violencia,Sin Sector
2025-07-22,Robo de vehículo con violencia,Sin Sector
2025-07-22,Robo de vehículo con violencia,Sin Sector
2025-08-01,Robo de vehículo sin violencia,Sin Sector
2025-07-21,Robo de vehículo sin violencia,Sin Sector
2025-07-18,Robo de vehículo sin violencia,Sin Sector
2025-07-17,Robo de vehículo sin violencia,Sin Sector
2025-08-05,Robo de vehículo sin violencia,Sin Sector
2025-08-05,Robo de vehículo sin violencia,Sin Sector
2025-08-02,Robo de vehículo sin violencia,Sin Sector
2025-08-04,Robo de vehículo con violencia,Sin Sector
2025-08-11,Robo de vehículo sin violencia,Sin Sector
2025-08-11,Robo de vehículo sin violencia,Sin Sector
2025-08-14,Robo de vehículo sin violencia,Sin Sector
2025-08-14,Robo de vehículo sin violencia,Sin Sector
2025-07-28,Robo a transeúnte en vía pública con violencia,TEZONCO
2025-06-22,Robo a transeúnte en vía pública con violencia,MILPA ALTA
2025-06-20,Robo de vehículo con violencia,MILPA ALTA
2025-06-08,Robo de vehículo sin violencia,MIXQUIC
2025-07-27,Robo de vehículo sin violencia,COAPA
2025-06-30,Robo de vehículo sin violencia,COAPA
2025-07-06,Robo de vehículo sin violencia,ZAPOTITLA
2025-04-30,Robo de vehículo sin violencia,COAPA
2025-06-06,Robo de vehículo sin violencia,COAPA
2025-07-30,Robo de vehículo sin violencia,COAPA
2025-05-24,Robo de vehículo con violencia,LA NORIA
2025-08-04,Robo a pasajero a bordo de taxi con violencia,Sin Sector
2025-04-25,Homicidio doloso,Sin Sector
2025-05-11,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-08-07,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-07-22,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-07-05,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-06-30,Robo a pasajero a bordo de taxi con violencia,Sin Sector
2025-08-03,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-05-02,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-05-11,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-07-04,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-07-04,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-08-09,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-08-10,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-08-04,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-08-12,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-05-13,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-05-12,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-05-03,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-06-30,Robo a pasajero a bordo de microbús con y sin violencia,Sin Sector
2025-04-30,Robo a repartidor con y sin violencia,SANTA CRUZ
2025-05-21,Robo a transeúnte en vía pública con violencia,Sin Sector
2025-04-18,Lesiones dolosas por disparo de arma de fuego,TEPEPAN
2025-06-15,Robo de vehículo sin violencia,Sin Sector
2025-06-09,Robo de vehículo sin violencia,Sin Sector
2025-08-11,Robo de vehículo sin violencia,Sin Sector
2025-07-25,Robo de vehículo con violencia,TOPILEJO
2025-05-21,Robo a transeúnte en vía pública con violencia,MOCTEZUMA
2025-07-19,Lesiones dolosas por disparo de arma de fuego,Sin Sector
2025-05-22,Lesiones dolosas por disparo de arma de fuego,Sin Sector
