fecha_inicio,categoria_delito,nombre_sec
2025-02-24,Robo a cuentahabiente saliendo del cajero con violencia,GRANJAS
2025-03-16,Robo a repartidor con y sin violencia,SANTA CRUZ
2025-02-16,Robo a repartidor con y sin violencia,SANTA CRUZ
2025-03-30,Lesiones dolosas por disparo de arma de fuego,ESTRELLA
2025-04-14,Homicidio doloso,TEZONCO
2025-03-02,Lesiones dolosas por disparo de arma de fuego,ABASTO-REFORMA
2025-03-21,Robo a negocio con violencia,TEZONCO
2025-04-14,Robo a negocio con violencia,TEZONCO
2025-02-26,Robo a pasajero a bordo de microbús con y sin violencia,ABASTO-REFORMA
2025-02-03,Robo a negocio con violencia,CHURUBUSCO
2025-01-16,Robo a pasajero a bordo de microbús con y sin violencia,OASIS
2025-04-14,Robo a cuentahabiente saliendo del cajero con violencia,ABASTO-REFORMA
2025-04-14,Robo a negocio con violencia,GRANJAS
2025-03-11,Robo a repartidor con y sin violencia,ABASTO-REFORMA
2025-01-15,Robo a pasajero a bordo de microbús con y sin violencia,ABASTO-REFORMA
2025-02-16,Robo a negocio con violencia,ABASTO-REFORMA
2025-03-19,Homicidio doloso,ABASTO-REFORMA
2025-01-12,Robo a pasajero a bordo de microbús con y sin violencia,GRANJAS
2025-03-02,Lesiones dolosas por disparo de arma de fuego,TEZONCO
2025-01-24,Robo a repartidor con y sin violencia,TEZONCO
2025-04-10,Robo a pasajero a bordo de microbús con y sin violencia,ABASTO-REFORMA
2024-12-31,Robo a repartidor con y sin violencia,TEZONCO
2025-01-07,Robo a negocio con violencia,TEZONCO
2025-01-24,Robo a negocio con violencia,TEOTONGO
2024-12-23,Robo a negocio con violencia,TEOTONGO
2025-02-06,Robo a pasajero a bordo de microbús con y sin violencia,SANTA CRUZ
2024-12-24,Lesiones dolosas por disparo de arma de fuego,SANTA CRUZ
2024-12-29,Robo a pasajero a bordo de microbús con y sin violencia,TEZONCO
2025-01-14,Robo a repartidor con y sin violencia,TEZONCO
2025-04-04,Robo a negocio con violencia,ABASTO-REFORMA
2025-02-24,Robo a repartidor con y sin violencia,QUETZAL
2025-01-15,Homicidio doloso,OASIS
2025-03-11,Homicidio doloso,OASIS
2024-12-19,Robo a repartidor con y sin violencia,ABASTO-REFORMA
2025-02-20,Lesiones dolosas por disparo de arma de fuego,QUETZAL
2025-04-15,Robo a negocio con violencia,TEOTONGO
2025-01-09,Lesiones dolosas por disparo de arma de fuego,SANTA CRUZ
2025-01-12,Robo a negocio con violencia,SANTA CRUZ
2024-12-30,Robo a pasajero a bordo de microbús con y sin violencia,OASIS
2024-12-23,Robo a repartidor con y sin violencia,OASIS
2025-01-23,Robo a repartidor con y sin violencia,OASIS
2024-12-28,Robo a repartidor con y sin violencia,OASIS
2025-01-24,Robo a repartidor con y sin violencia,OASIS
2025-02-21,Robo a pasajero a bordo de taxi con violencia,OASIS
2025-03-17,Homicidio doloso,OASIS
2024-12-18,Robo a negocio con violencia,QUETZAL
2025-02-02,Robo a negocio con violencia,ESTRELLA
2025-02-15,Homicidio doloso,ESTRELLA
2025-02-25,Robo a negocio con violencia,OASIS
2025-03-30,Robo a pasajero a bordo de microbús con y sin violencia,OASIS
2025-02-21,Robo a repartidor con y sin violencia,TEOTONGO
2025-01-31,Homicidio doloso,OASIS
2025-04-07,Robo a negocio con violencia,SAN JERONIMO
2025-03-11,Robo a negocio con violencia,PLATEROS
2025-02-01,Lesiones dolosas por disparo de arma de fuego,PLATEROS
2025-01-16,Homicidio doloso,PLATEROS
2025-01-21,Robo a negocio con violencia,PLATEROS
2025-03-04,Robo a negocio con violencia,PLATEROS
2024-12-23,Robo a negocio con violencia,PLATEROS
2024-12-19,Robo a negocio con violencia,PLATEROS
2025-01-15,Robo a negocio con violencia,PLATEROS
2025-02-12,Robo a negocio con violencia,TECOMITL
2025-04-12,Homicidio doloso,MILPA ALTA
2025-02-15,Lesiones dolosas por disparo de arma de fuego,SANTA FE
2025-01-30,Robo a negocio con violencia,SANTA FE
2025-03-08,Robo a negocio con violencia,PLATEROS
2025-02-11,Homicidio doloso,PLATEROS
2025-04-13,Homicidio doloso,PLATEROS
2025-01-27,Homicidio doloso,ALPES
2024-12-26,Robo a casa habitación con violencia,SAN ANGEL
2025-02-02,Robo a cuentahabiente saliendo del cajero con violencia,PLATEROS
2025-02-13,Robo a negocio con violencia,ALPES
2025-03-30,Robo a negocio con violencia,ALPES
2025-02-06,Robo a negocio con violencia,ZAPOTITLA
2025-01-15,Lesiones dolosas por disparo de arma de fuego,ZAPOTITLA
2025-01-10,Homicidio doloso,ZAPOTITLA
2025-02-07,Robo a pasajero a bordo de microbús con y sin violencia,ZAPOTITLA
2025-03-06,Robo a pasajero a bordo de microbús con y sin violencia,ZAPOTITLA
2025-01-18,Robo a negocio con violencia,PLATEROS
2024-12-25,Lesiones dolosas por disparo de arma de fuego,ZAPOTITLA
2025-01-06,Robo a negocio con violencia,ZAPOTITLA
2025-04-05,Robo a negocio con violencia,MIXQUIC
2025-02-25,Homicidio doloso,MIXQUIC
2025-01-06,Homicidio doloso,ZAPOTITLA
2025-02-10,Robo a pasajero a bordo de microbús con y sin violencia,COAPA
2025-01-23,Robo a pasajero a bordo de microbús con y sin violencia,PADIERNA
2025-01-14,Homicidio doloso,PADIERNA
2025-04-08,Robo a negocio con violencia,COAPA
2024-12-28,Robo a negocio con violencia,COAPA
2024-12-28,Robo a pasajero a bordo de microbús con y sin violencia,COAPA
2025-03-14,Homicidio doloso,TOPILEJO
2025-02-13,Robo a casa habitación con violencia,COAPA
2025-04-03,Robo a cuentahabiente saliendo del cajero con violencia,COAPA
2025-03-11,Homicidio doloso,HUIPULCO-HOSPITALES
2025-02-20,Lesiones dolosas por disparo de arma de fuego,HUIPULCO-HOSPITALES
2025-04-05,Robo a pasajero a bordo de microbús con y sin violencia,LA NORIA
2025-04-09,Robo a repartidor con y sin violencia,TEPEPAN
2025-01-07,Homicidio doloso,LA NORIA
2025-01-17,Robo a pasajero a bordo de microbús con y sin violencia,DEL VALLE
2025-04-04,Robo de vehículo con violencia,Sin Sector
2025-03-27,Robo a negocio con violencia,COAPA
2024-12-23,Robo a casa habitación con violencia,NATIVITAS
2024-12-21,Robo a negocio con violencia,NAPOLES
2025-04-05,Robo a repartidor con y sin violencia,PORTALES
2025-01-15,Robo a negocio con violencia,PORTALES
2025-01-30,Robo a casa habitación con violencia,NAPOLES
2025-04-14,Homicidio doloso,PADIERNA
2024-12-31,Robo a negocio con violencia,NATIVITAS
2025-03-10,Robo a cuentahabiente saliendo del cajero con violencia,NAPOLES
2024-12-29,Homicidio doloso,NAPOLES
2025-03-10,Robo a negocio con violencia,NARVARTE-ALAMOS
2025-03-26,Robo a negocio con violencia,PORTALES
2025-01-06,Robo a pasajero a bordo de microbús con y sin violencia,NATIVITAS
2025-02-18,Robo a repartidor con y sin violencia,PORTALES
2025-04-04,Robo a negocio con violencia,DEL VALLE
2025-03-03,Robo a negocio con violencia,PORTALES
2024-12-31,Robo a negocio con violencia,NARVARTE-ALAMOS
2025-02-09,Robo a pasajero a bordo de microbús con y sin violencia,PORTALES
2025-02-03,Robo a negocio con violencia,PORTALES
2024-12-28,Robo a negocio con violencia,ANGEL
2024-12-30,Robo a pasajero a bordo de taxi con violencia,ANGEL
2024-12-21,Robo a negocio con violencia,ANGEL
2025-02-08,Homicidio doloso,TLATELOLCO
2025-02-23,Homicidio doloso,ASTURIAS
2025-03-05,Homicidio doloso,ANGEL
2025-01-26,Robo a negocio con violencia,BUENAVISTA
2025-04-12,Homicidio doloso,CENTRO
2024-12-28,Robo a repartidor con y sin violencia,CENTRO
2025-02-21,Secuestro,ALAMEDA
2025-03-27,Robo a negocio con violencia,CENTRO
2025-03-17,Homicidio doloso,CENTRO
2024-12-18,Homicidio doloso,CENTRO
2024-12-28,Robo a negocio con violencia,ALAMEDA
2025-02-14,Robo a negocio con violencia,ALAMEDA
2024-12-20,Robo a negocio con violencia,ALAMEDA
2025-02-27,Homicidio doloso,ASTURIAS
2024-12-29,Robo a pasajero a bordo de microbús con y sin violencia,BUENAVISTA
2025-01-14,Robo a negocio con violencia,BUENAVISTA
2025-03-16,Homicidio doloso,CENTRO
2025-02-21,Lesiones dolosas por disparo de arma de fuego,CENTRO
2025-03-21,Homicidio doloso,ASTURIAS
2024-12-29,Robo a repartidor con y sin violencia,ASTURIAS
2025-03-28,Robo a negocio con violencia,ALAMEDA
2025-03-08,Homicidio doloso,BUENAVISTA
2025-02-08,Homicidio doloso,ROMA
2025-02-27,Homicidio doloso,TLATELOLCO
2024-12-19,Homicidio doloso,MORELOS
2025-03-08,Homicidio doloso,TLATELOLCO
2025-04-02,Robo a negocio con violencia,TLATELOLCO
2025-02-17,Homicidio doloso,TLATELOLCO
2024-12-22,Robo a negocio con violencia,TLATELOLCO
2025-02-26,Robo a repartidor con y sin violencia,TLATELOLCO
2025-01-24,Robo a negocio con violencia,BUENAVISTA
2025-03-30,Robo a negocio con violencia,BUENAVISTA
2024-12-27,Homicidio doloso,TACUBAYA
2025-02-10,Lesiones dolosas por disparo de arma de fuego,TACUBAYA
2025-02-23,Homicidio doloso,TACUBA
2025-03-30,Lesiones dolosas por disparo de arma de fuego,TACUBA
2025-02-18,Robo a negocio con violencia,TACUBA
2025-01-29,Robo a negocio con violencia,POLANCO-CASTILLO
2025-01-09,Robo a negocio con violencia,TACUBA
2025-04-09,Robo a negocio con violencia,TACUBA
2025-01-30,Robo a negocio con violencia,SOTELO
2025-04-13,Homicidio doloso,SOTELO
2025-04-11,Robo a negocio con violencia,TACUBA
2025-02-13,Robo a negocio con violencia,TACUBAYA
2025-01-03,Homicidio doloso,SOTELO
2025-03-26,Robo a negocio con violencia,TACUBA
2025-03-18,Robo a negocio con violencia,TACUBA
2025-02-19,Robo a negocio con violencia,TACUBA
2025-03-12,Robo a negocio con violencia,TACUBA
2025-03-18,Robo a negocio con violencia,TACUBA
2025-03-22,Robo a negocio con violencia,TACUBA
2025-04-09,Robo a negocio con violencia,TACUBAYA
2024-12-22,Homicidio doloso,TACUBAYA
2025-01-15,Robo a negocio con violencia,TACUBA
2025-03-04,Robo a negocio con violencia,TACUBAYA
2025-01-28,Robo a repartidor con y sin violencia,TACUBA
2025-04-08,Robo a negocio con violencia,TACUBA
2025-03-28,Lesiones dolosas por disparo de arma de fuego,TACUBA
2025-02-05,Robo a negocio con violencia,TACUBA
2025-02-14,Robo a pasajero a bordo de taxi con violencia,TACUBA
2025-03-11,Robo a negocio con violencia,TACUBA
2025-01-06,Robo a negocio con violencia,MERCED-BALBUENA
2025-03-01,Lesiones dolosas por disparo de arma de fuego,TACUBA
2024-12-24,Robo a repartidor con y sin violencia,MOCTEZUMA
2025-03-10,Robo a negocio con violencia,MOCTEZUMA
2025-03-01,Robo a negocio con violencia,TACUBA
2025-02-14,Robo a negocio con violencia,TACUBAYA
2025-04-10,Robo a pasajero a bordo de microbús con y sin violencia,ARENAL
2025-01-19,Lesiones dolosas por disparo de arma de fuego,MERCED-BALBUENA
2025-02-04,Homicidio doloso,MERCED-BALBUENA
2025-01-07,Robo a casa habitación con violencia,CONSULADO
2025-01-23,Robo a pasajero a bordo de microbús con y sin violencia,ARENAL
2025-04-09,Homicidio doloso,ARENAL
2025-01-24,Lesiones dolosas por disparo de arma de fuego,ZARAGOZA
2025-03-24,Robo de vehículo con violencia,Sin Sector
2025-03-25,Robo de vehículo sin violencia,Sin Sector
2025-03-20,Robo de vehículo sin violencia,Sin Sector
2025-03-20,Robo de vehículo sin violencia,Sin Sector
2025-03-19,Robo de vehículo sin violencia,Sin Sector
2025-04-02,Robo de vehículo sin violencia,Sin Sector
2025-03-22,Robo de vehículo sin violencia,Sin Sector
2025-04-06,Robo de vehículo sin violencia,Sin Sector
2025-03-20,Robo de vehículo sin violencia,Sin Sector
2025-03-21,Robo de vehículo sin violencia,Sin Sector
2025-03-29,Robo de vehículo sin violencia,Sin Sector
2025-03-08,Robo de vehículo sin violencia,Sin Sector
2025-03-08,Robo de vehículo sin violencia,Sin Sector
2025-03-29,Robo de vehículo sin violencia,Sin Sector
2025-03-10,Robo de vehículo sin violencia,Sin Sector
2025-03-01,Robo de vehículo sin violencia,Sin Sector
2025-03-06,Robo de vehículo sin violencia,Sin Sector
2025-04-01,Robo de vehículo sin violencia,Sin Sector
2025-03-22,Robo de vehículo sin violencia,Sin Sector
