nombre_sec,total_delitos_primera,total_delitos_segunda,variacion_porcentual,eficiencia
POLANCO-CASTILLO,24,19,-20.83,0.20833333333333334
POLANCO-CASTILLO,24,19,-20.83,0.20833333333333334
POLANCO-CASTILLO,24,19,-20.83,0.20833333333333334
POLANCO-CASTILLO,24,19,-20.83,0.20833333333333334
POLANCO-CASTILLO,24,19,-20.83,0.20833333333333334
POLANCO-CASTILLO,24,19,-20.83,0.20833333333333334
POLANCO-CASTILLO,24,19,-20.83,0.20833333333333334
POLANCO-CASTILLO,24,19,-20.83,0.20833333333333334
POLANCO-CASTILLO,24,19,-20.83,0.20833333333333334
POLANCO-CASTILLO,24,19,-20.83,0.20833333333333334
POLANCO-CASTILLO,24,19,-20.83,0.20833333333333334
POLANCO-CASTILLO,24,19,-20.83,0.20833333333333334
POLANCO-CASTILLO,24,19,-20.83,0.20833333333333334
POLANCO-CASTILLO,24,19,-20.83,0.20833333333333334
POLANCO-CASTILLO,24,19,-20.83,0.20833333333333334
POLANCO-CASTILLO,24,19,-20.83,0.20833333333333334
POLANCO-CASTILLO,24,19,-20.83,0.20833333333333334
POLANCO-CASTILLO,24,19,-20.83,0.20833333333333334
POLANCO-CASTILLO,24,19,-20.83,0.20833333333333334
POLANCO-CASTILLO,24,19,-20.83,0.20833333333333334
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
TICOMAN,58,46,-20.69,0.20689655172413793
