fecha_inicio,categoria_delito,nombre_sec
2025-02-27,Robo a negocio con violencia,TAXQUEÑA
2025-01-19,Robo a pasajero a bordo de microbús con y sin violencia,COYOACAN
2024-03-01,Robo a negocio con violencia,TAXQUEÑA
2025-05-27,Lesiones dolosas por disparo de arma de fuego,COYOACAN
2024-05-07,Robo a pasajero a bordo de microbús con y sin violencia,UNIVERSIDAD
2024-06-19,Robo a negocio con violencia,UNIVERSIDAD
2024-05-16,Robo a pasajero a bordo de microbús con y sin violencia,UNIVERSIDAD
2024-05-03,Robo a repartidor con y sin violencia,TAXQUEÑA
2025-02-01,Robo a negocio con violencia,TAXQUEÑA
2024-08-31,Robo a negocio con violencia,COYOACAN
2024-08-05,Robo a cuentahabiente saliendo del cajero con violencia,UNIVERSIDAD
2024-06-24,Robo a negocio con violencia,UNIVERSIDAD
2025-02-04,Robo a casa habitación con violencia,UNIVERSIDAD
2024-06-28,Robo a negocio con violencia,TAXQUEÑA
2025-07-05,Robo a pasajero a bordo de microbús con y sin violencia,CULHUACAN
2024-02-20,Robo a cuentahabiente saliendo del cajero con violencia,COYOACAN
2024-06-12,Homicidio doloso,UNIVERSIDAD
2024-03-11,Robo a negocio con violencia,TAXQUEÑA
2025-06-11,Robo a negocio con violencia,TAXQUEÑA
2024-08-25,Robo a negocio con violencia,UNIVERSIDAD
2025-01-16,Robo a pasajero a bordo de microbús con y sin violencia,UNIVERSIDAD
2025-04-28,Robo a negocio con violencia,TAXQUEÑA
2024-02-10,Robo a cuentahabiente saliendo del cajero con violencia,CULHUACAN
2024-08-05,Robo a pasajero a bordo de taxi con violencia,CULHUACAN
2025-07-09,Robo a negocio con violencia,COYOACAN
2025-03-12,Robo a negocio con violencia,XOTEPINGO
2025-02-20,Robo a negocio con violencia,TAXQUEÑA
2024-09-18,Robo a negocio con violencia,COYOACAN
2024-12-11,Robo a negocio con violencia,COYOACAN
2024-05-22,Homicidio doloso,CULHUACAN
2025-08-14,Robo a negocio con violencia,XOTEPINGO
2025-06-20,Robo a pasajero a bordo de microbús con y sin violencia,XOTEPINGO
2025-03-15,Lesiones dolosas por disparo de arma de fuego,CULHUACAN
2024-12-01,Robo a negocio con violencia,XOTEPINGO
2024-10-22,Robo a repartidor con y sin violencia,XOTEPINGO
2024-04-27,Robo a pasajero a bordo de taxi con violencia,XOTEPINGO
2025-06-23,Robo a negocio con violencia,XOTEPINGO
2024-03-05,Homicidio doloso,XOTEPINGO
2025-07-14,Robo a negocio con violencia,XOTEPINGO
2025-04-21,Robo a negocio con violencia,XOTEPINGO
2025-04-21,Robo a repartidor con y sin violencia,UNIVERSIDAD
2025-08-14,Robo a negocio con violencia,XOTEPINGO
2024-11-21,Robo a negocio con violencia,CULHUACAN
2024-08-21,Robo a negocio con violencia,CULHUACAN
2024-10-30,Robo a negocio con violencia,XOTEPINGO
2025-03-11,Robo a negocio con violencia,XOTEPINGO
2024-11-04,Robo a negocio con violencia,XOTEPINGO
2024-05-15,Lesiones dolosas por disparo de arma de fuego,XOTEPINGO
2024-07-17,Robo a negocio con violencia,XOTEPINGO
2024-05-14,Robo a repartidor con y sin violencia,CULHUACAN
2025-08-11,Homicidio doloso,UNIVERSIDAD
2024-10-30,Robo a negocio con violencia,COYOACAN
2024-10-28,Robo a negocio con violencia,CULHUACAN
2024-07-04,Robo a cuentahabiente saliendo del cajero con violencia,CULHUACAN
2024-08-01,Robo a casa habitación con violencia,CULHUACAN
2024-06-16,Robo a negocio con violencia,XOTEPINGO
2024-11-30,Homicidio doloso,XOTEPINGO
2024-01-27,Robo a negocio con violencia,XOTEPINGO
2025-04-18,Robo a negocio con violencia,XOTEPINGO
2025-02-27,Robo a casa habitación con violencia,XOTEPINGO
2024-08-05,Lesiones dolosas por disparo de arma de fuego,XOTEPINGO
2025-01-07,Robo a negocio con violencia,XOTEPINGO
2025-05-07,Robo a negocio con violencia,CULHUACAN
2024-07-02,Robo a negocio con violencia,COYOACAN
2024-06-18,Robo a negocio con violencia,COYOACAN
2025-02-12,Robo a pasajero a bordo de microbús con y sin violencia,COYOACAN
2025-07-14,Robo a pasajero a bordo de microbús con y sin violencia,COYOACAN
2024-12-18,Robo a negocio con violencia,XOTEPINGO
2024-05-18,Robo a negocio con violencia,CULHUACAN
2025-01-22,Robo a negocio con violencia,CULHUACAN
2024-06-21,Robo a negocio con violencia,COYOACAN
2025-05-06,Robo a casa habitación con violencia,XOTEPINGO
2024-10-18,Robo a repartidor con y sin violencia,XOTEPINGO
2024-02-25,Robo a negocio con violencia,XOTEPINGO
2024-08-31,Lesiones dolosas por disparo de arma de fuego,XOTEPINGO
2025-02-17,Robo a cuentahabiente saliendo del cajero con violencia,XOTEPINGO
2024-11-27,Robo a negocio con violencia,UNIVERSIDAD
2024-12-11,Robo a negocio con violencia,UNIVERSIDAD
2024-04-02,Robo a negocio con violencia,UNIVERSIDAD
2024-07-10,Robo a negocio con violencia,UNIVERSIDAD
2024-07-06,Robo a casa habitación con violencia,UNIVERSIDAD
2025-01-03,Lesiones dolosas por disparo de arma de fuego,UNIVERSIDAD
2025-05-16,Robo a negocio con violencia,UNIVERSIDAD
2024-11-12,Homicidio doloso,UNIVERSIDAD
2024-02-03,Lesiones dolosas por disparo de arma de fuego,CULHUACAN
2024-01-15,Robo a negocio con violencia,TAXQUEÑA
2024-09-24,Robo a cuentahabiente saliendo del cajero con violencia,EL YAQUI
2024-08-28,Robo a negocio con violencia,EL YAQUI
2024-08-26,Homicidio doloso,EL YAQUI
2024-12-03,Robo a negocio con violencia,CUAJIMALPA
2024-06-03,Robo a repartidor con y sin violencia,CUAJIMALPA
2025-06-30,Robo a negocio con violencia,TICOMAN
2024-12-21,Robo a negocio con violencia,LINDAVISTA
2024-04-15,Robo a negocio con violencia,UNIVERSIDAD
2024-07-25,Robo a repartidor con y sin violencia,UNIVERSIDAD
2025-05-06,Robo a pasajero a bordo de microbús con y sin violencia,UNIVERSIDAD
2024-07-04,Robo a negocio con violencia,UNIVERSIDAD
2025-07-24,Robo a negocio con violencia,UNIVERSIDAD
2024-11-24,Homicidio doloso,UNIVERSIDAD
2024-06-11,Robo a pasajero a bordo de microbús con y sin violencia,UNIVERSIDAD
2025-05-07,Robo a negocio con violencia,UNIVERSIDAD
2025-07-15,Robo a negocio con violencia,UNIVERSIDAD
2024-05-24,Robo a pasajero a bordo de microbús con y sin violencia,UNIVERSIDAD
2024-09-17,Robo a negocio con violencia,UNIVERSIDAD
2024-05-16,Robo a cuentahabiente saliendo del cajero con violencia,UNIVERSIDAD
2024-10-27,Lesiones dolosas por disparo de arma de fuego,UNIVERSIDAD
2025-01-27,Robo a negocio con violencia,UNIVERSIDAD
2024-01-14,Robo a cuentahabiente saliendo del cajero con violencia,CULHUACAN
2024-09-01,Homicidio doloso,EL YAQUI
2025-04-07,Robo a repartidor con y sin violencia,CUAJIMALPA
2024-12-29,Robo a negocio con violencia,TICOMAN
2025-05-15,Robo a negocio con violencia,TICOMAN
2025-04-23,Robo a negocio con violencia,TICOMAN
2024-07-12,Robo a repartidor con y sin violencia,UNIVERSIDAD
2025-04-05,Robo a negocio con violencia,UNIVERSIDAD
2024-03-08,Robo a negocio con violencia,EL YAQUI
2024-08-09,Robo a negocio con violencia,CUAJIMALPA
2024-03-01,Robo a negocio con violencia,TICOMAN
2025-02-27,Robo a negocio con violencia,TICOMAN
2024-02-23,Robo a negocio con violencia,QUIROGA
2024-07-25,Robo a negocio con violencia,LINDAVISTA
2024-10-03,Robo a negocio con violencia,TICOMAN
2024-02-15,Robo a pasajero a bordo de microbús con y sin violencia,TEPEYAC
2025-05-04,Homicidio doloso,ARAGON
2024-08-17,Robo a casa habitación con violencia,CUAUTEPEC
2024-11-29,Robo a negocio con violencia,QUIROGA
2024-11-02,Homicidio doloso,QUIROGA
2024-05-18,Robo a repartidor con y sin violencia,ARAGON
2024-07-10,Robo a negocio con violencia,ARAGON
2024-04-26,Robo a negocio con violencia,ARAGON
2024-11-10,Robo a negocio con violencia,TICOMAN
2024-08-04,Robo a cuentahabiente saliendo del cajero con violencia,CUCHILLA
2024-09-27,Homicidio doloso,CUCHILLA
2024-06-21,Robo a negocio con violencia,ARAGON
2025-04-26,Robo a repartidor con y sin violencia,ARAGON
2024-03-17,Homicidio doloso,CUAUTEPEC
2024-12-22,Lesiones dolosas por disparo de arma de fuego,CUAUTEPEC
